Unnamed: 0,TIME,CAP,TEX,CAN,LIS,SAL,STO,TAL,VES,REY,LON,SIC,KK,LAU,SPL,PET,Grid_Frequency,Load_Demand,Freq_Deviation,Stability_Status
0,11:00:00,65.9399,9.08137,55.96619403,13.269,-21.8588,33.3951,9.55645,-144.138999,60.1819,-78.1297,-21.8068,18.1998,29.1219,36.8277,36.9894,-78.1297,0,-138.1297,Volatile State
1,11:00:01,69.2158,7.41051,56.04781343,12.61,-22.7871,33.9255,9.76259,-151.676636,65.7565,-78.2633,-21.359,17.1489,28.2688,35.7463,36.6418,-78.2633,1,-138.26330000000002,Volatile State
2,11:00:02,72.4922,4.60216,56.12943284,13.96,-25.6557,32.221,8.90416,-159.214273,68.9278,-78.3969,-21.3363,15.0818,27.7712,35.1368,36.2396,-78.3969,2,-138.39690000000002,Volatile State
3,11:00:03,73.3272,1.74548,56.21105224,15.922,-30.7897,27.3036,8.28589,-165.136954,74.1413,-78.5306,-20.6612,13.4054,27.727,35.701,35.4192,-78.5306,3,-138.5306,Volatile State
4,11:00:04,74.3524,-1.19711,56.29267164,19.192,-31.4532,18.999,9.21918,-181.04536,76.1846,-78.6642,-19.1904,11.7627,26.5195,36.555,35.0328,-78.6642,4,-138.6642,Volatile State
5,11:00:05,75.3428,-3.8893,56.37429104,17.682,-35.6162,10.3059,10.1937,-190.387046,78.4644,-78.7978,-16.6536,10.5201,24.5425,35.4753,32.9374,-78.7978,5,-138.7978,Volatile State
6,11:00:06,75.5026,-5.48025,56.45591045,17.848,-34.581,2.53314,9.37432,-209.285392,79.6526,-78.9314,-13.7171,9.86291,23.0148,34.7154,31.4193,-78.9314,6,-138.9314,Volatile State
7,11:00:07,75.0076,-5.50627,56.53752985,15.641,-34.4715,-5.51179,10.1601,-222.035634,80.5398,-79.065,-9.11543,9.53279,21.2928,33.7762,30.0021,-79.065,7,-139.065,Volatile State
8,11:00:08,72.9171,-3.86167,56.61914925,17.677,-35.615,-11.4084,9.46664,-226.02673,78.8306,-79.1986,-5.71185,8.94975,20.667,32.3733,29.4801,-79.1986,8,-139.1986,Volatile State
9,11:00:09,69.9945,-1.73693,56.70076866,20.588,-34.4164,-17.1359,8.20344,-223.358982,76.2648,-79.3322,-5.39868,8.11106,19.823,30.1299,29.6014,-79.3322,9,-139.3322,Volatile State
10,11:00:10,65.6841,-0.143156,56.78238806,21.201,-34.5986,-24.6166,8.7938,-215.203877,72.6166,-79.4658,-2.15283,7.71339,19.743,29.4666,27.4808,-79.4658,10,-139.4658,Volatile State
11,11:00:11,61.153,1.97272,56.86400746,24.073,-32.5075,-32.2543,8.96645,-207.628629,67.7279,-79.5995,0.734779,6.33057,19.1142,28.6314,24.6777,-79.5995,11,-139.5995,Volatile State
12,11:00:12,56.9429,3.47832,56.94562687,30.42,-29.9503,-41.0842,8.88849,-202.888599,61.069,-79.7331,2.25603,5.66901,17.2289,27.4456,23.2674,-79.7331,12,-139.73309999999998,Volatile State
13,11:00:13,52.8709,4.63589,57.02724627,33.891,-31.0047,-49.7931,6.72846,-212.330469,54.5167,-79.8667,3.5716,4.91288,13.3964,26.7326,22.8512,-79.8667,13,-139.86669999999998,Volatile State
14,11:00:14,48.5025,6.2777,57.10886567,30.904,-30.1171,-56.9231,7.31692,-221.772338,49.151,-80.0003,4.56472,5.50263,11.0184,25.1092,22.5252,-80.0003,14,-140.00029999999998,Volatile State
15,11:00:15,44.3945,8.2266,57.19048507,29.521,-30.7249,-62.2032,7.27672,-231.214208,41.9667,-80.1339,5.78905,6.41686,10.2628,23.1027,22.0108,-80.1339,15,-140.13389999999998,Volatile State
16,11:00:16,41.2718,9.71433,57.27210448,27.041,-27.1358,-66.2786,8.44743,-247.797864,36.4302,-80.2675,5.71047,7.21055,8.84825,20.8996,21.3239,-80.2675,16,-140.26749999999998,Volatile State
17,11:00:17,38.5537,10.7371,57.35372388,26.469,-25.9235,-70.4139,5.70949,-252.785681,29.9753,-80.4011,4.6524,6.43438,7.6226,21.4055,20.3783,-80.4011,17,-140.40109999999999,Volatile State
18,11:00:18,35.2005,11.1165,57.43534328,25.776,-23.0745,-75.3582,5.14555,-250.135772,22.7914,-80.5348,5.17935,5.89175,5.88427,22.3887,19.5847,-80.5348,18,-140.53480000000002,Volatile State
19,11:00:19,30.8449,11.0425,57.51696269,29.338,-22.6025,-80.2338,5.97107,-231.193137,16.0341,-80.6684,4.88185,7.31212,3.6384,23.5168,19.5225,-80.6684,19,-140.66840000000002,Volatile State
20,11:00:20,28.9703,11.2261,57.59858209,31.577,-19.6334,-85.0283,6.04725,-207.436784,8.52637,-80.802,4.9636,9.12627,0.625652,23.5736,18.5974,-80.802,20,-140.80200000000002,Volatile State
21,11:00:21,27.6694,10.3391,57.68020149,27.44,-17.9347,-89.4396,6.68337,-191.890108,0.401852,-80.9356,4.14042,8.69684,-2.72082,22.6955,16.2285,-80.9356,21,-140.9356,Volatile State
22,11:00:22,23.5634,8.78049,57.7618209,24.375,-16.9713,-92.7993,4.51148,-181.686615,-7.56969,-81.0692,3.75749,8.40521,-5.77926,21.4932,14.7763,-81.0692,22,-141.0692,Volatile State
